USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  43792 14168 ?        Ss   Feb13   0:08 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root         932  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/167-iwlwifi:queue_11]
root         933  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/168-iwlwifi:queue_12]
root         934  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/169-iwlwifi:queue_13]
root         935  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/170-iwlwifi:queue_14]
root         936  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/171-iwlwifi:exception]
root         948  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/16-processor_thermal_device_pci]
root         956  0.0  0.0      0     0 ?        S    Feb13   0:00 [nvidia-modeset/kthread_q]
root         957  0.0  0.0      0     0 ?        S    Feb13   0:00 [nvidia-modeset/deferred_close_kthread_q]
root        1023  0.0  0.0      0     0 ?        S    Feb13   0:00 [jbd2/nvme0n1p6-8]
root        1024  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-ext4-rsv-conversion]
systemd+    1101  0.0  0.0  17340  7120 ?        Ss   Feb13   1:02 /usr/lib/systemd/systemd-oomd
systemd+    1103  0.0  0.0  25648 11084 ?        Ss   Feb13   0:26 /usr/lib/systemd/systemd-resolved
root        1104  0.0  0.0  20960  2572 ?        S<sl Feb13   0:00 /usr/bin/auditd
dbus        1135  0.0  0.0   9632  3860 ?        Ss   Feb13   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus        1136  0.0  0.0   9852  5928 ?        S    Feb13   0:07 dbus-broker --log 10 --controller 9 --machine-id 13facde82a574414b20cddf3a34e86e2 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi       1139  0.0  0.0   6716  4792 ?        Ss   Feb13   0:00 avahi-daemon: running [fedora.local]
root        1140  0.0  0.0      0     0 ?        S    Feb13   0:00 [irq/174-nvidia]
root        1142  0.0  0.0      0     0 ?        S    Feb13   0:00 [nv_queue]
root        1146  0.0  0.0   9544  5328 ?        Ss   Feb13   0:00 /usr/libexec/bluetooth/bluetoothd
root        1155  0.0  0.0  81032  4312 ?        Ssl  Feb13   0:08 /usr/sbin/irqbalance
chrony      1159  0.0  0.0  86424  4464 ?        Ss   Feb13   0:00 /usr/sbin/chronyd -n -F 2
root        1164  0.0  0.0 303040  5948 ?        SLsl Feb13   0:00 /usr/libexec/low-memory-monitor
root        1167  0.0  0.0   3208  2200 ?        Ss   Feb13   0:00 /usr/sbin/mcelog --daemon --foreground
root        1168  0.0  0.0 305752  4140 ?        Ssl  Feb13   0:39 /usr/bin/nvidia-powerd
polkitd     1169  0.0  0.0 385728 11448 ?        Ssl  Feb13   0:12 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit       1170  0.0  0.0  21728  3408 ?        SNsl Feb13   0:00 /usr/libexec/rtkit-daemon
root        1171  0.0  0.0   9684  4644 ?        Ss   Feb13   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root        1172  0.0  0.0 534172  8708 ?        Ssl  Feb13   0:02 /usr/libexec/accounts-daemon
root        1173  0.0  0.0 531584  6900 ?        Ssl  Feb13   0:00 /usr/libexec/switcheroo-control
root        1177  0.0  0.0  17560  7468 ?        Ss   Feb13   0:02 /usr/lib/systemd/systemd-homed
root        1180  0.0  0.0  20028  8592 ?        Ss   Feb13   0:03 /usr/lib/systemd/systemd-logind
root        1181  0.0  0.0  17236  7036 ?        Ss   Feb13   0:02 /usr/lib/systemd/systemd-machined
root        1185  0.0  0.0 610668  9848 ?        Ssl  Feb13   0:29 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1189  0.0  0.0 543656 10140 ?        Ssl  Feb13   0:00 /usr/libexec/udisks2/udisksd
root        1195  0.0  0.0 542836  9988 ?        Ssl  Feb13   0:08 /usr/libexec/upowerd
root        1197  0.5  0.7 5657732 115740 ?      Ssl  Feb13  16:12 /bin/warp-svc
root        1209  0.0  0.0      0     0 ?        S    Feb13   0:00 [psimon]
avahi       1213  0.0  0.0   6444  1612 ?        S    Feb13   0:00 avahi-daemon: chroot helper
root        1224  0.0  0.0      0     0 ?        S    Feb13   0:00 [psimon]
root        1234  0.0  0.0   4924  3052 ?        SNs  Feb13   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root        1318  0.0  0.0 553768 10260 ?        Ssl  Feb13   0:00 /usr/sbin/abrtd -d -s
root        1341  0.0  0.0 391388  8424 ?        Ssl  Feb13   0:00 /usr/bin/ModemManager
root        1342  0.0  0.1 373872 23392 ?        Ssl  Feb13   0:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root        1355  0.0  0.0 984640 12020 ?        Ss   Feb13   0:04 /usr/bin/abrt-dump-journal-core -D -T -f -e
root        1356  0.0  0.0 983920 11732 ?        Ss   Feb13   0:04 /usr/bin/abrt-dump-journal-oops -fxtD
root        1357  0.0  0.0 984180 11872 ?        Ss   Feb13   0:07 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1402  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-rpciod]
root        1403  0.0  0.0      0     0 ?        I<   Feb13   0:00 [kworker/R-xprtiod]
root        1433  0.0  0.1 562112 18696 ?        Ssl  Feb13   0:22 /usr/bin/NetworkManager --no-daemon
root        1456  0.0  0.0  16668  7980 ?        Ss   Feb13   0:02 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1472  0.0  0.0 335612 12504 ?        Ss   Feb13   0:00 /usr/bin/cupsd -l
root        1473  0.0  0.0 282388  7704 ?        Ssl  Feb13   0:00 /usr/bin/gssproxy -i
root        1478  0.0  0.0   2900  1492 ?        Ss   Feb13   0:00 /bin/sh /snap/cups/1142/scripts/run-cups-browsed
root        1480  0.0  0.0   2900  1316 ?        Ss   Feb13   0:00 /bin/sh /snap/cups/1142/scripts/run-cupsd
root        1481  0.0  0.0 500092 13732 ?        Ssl  Feb13   0:13 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        1507  0.0  0.0 2185820 13080 ?       Ssl  Feb13   1:07 /usr/bin/containerd
colord      1527  0.0  0.0 538676 10868 ?        Ssl  Feb13   0:00 /usr/libexec/colord
mysql       1606  0.2  0.0 2214144 8780 ?        Ssl  Feb13   6:05 /usr/libexec/mysqld --basedir=/usr
root        1617  0.0  0.0 498320 13248 ?        Ssl  Feb13   0:06 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1770  0.0  0.0  61816  3484 ?        S    Feb13   0:00 cupsd -f -s /var/snap/cups/common/etc/cups/cups-files.conf -c /var/snap/cups/common/etc/cups/cupsd.conf
